x,dx,y,dy,z,dz,rx,drx,ry,dry,rz,drz
0.0,16.72866623008937,0.0,-0.648680223069911,-400.0,0.0,8.0,-0.04481706793299886,-45.0,0.10434524094267666,0.0,0.06725421853693757
0.0,4.78782426192216,0.0,0.7048248072252236,-400.0,0.0,8.0,0.0357317757664633,-46.0,0.09668560902167012,0.0,-0.004033499324109586
0.0,7.655925015937796,0.0,0.5296027673059801,-400.0,0.0,8.0,-0.13407844635378877,-47.0,0.07155132542224293,0.0,-0.1646442376303256
0.0,3.1723850870907193,0.0,-0.6276145410400583,-400.0,0.0,8.0,-0.03569800649729148,-48.0,-0.08535573629343879,0.0,-0.013413939167263229
0.0,-6.887036795067544,0.0,-1.201814833241669,-400.0,0.0,8.0,-0.008620890818847622,-49.0,-0.0387981835416189,0.0,-0.03891602783404725
0.0,2.584624155236967,0.0,0.3662598630564239,-400.0,0.0,8.0,0.04822167548189679,-50.0,0.15419416502799055,0.0,0.03572514153248352
0.0,3.040377067060599,0.0,1.389874557082026,-400.0,0.0,8.0,-0.03008585100782798,-51.0,-0.06641375967129336,0.0,-0.012502142296486666
0.0,-1.333875252013796,0.0,-1.034323820341622,-400.0,0.0,8.0,-0.026915411496301247,-52.0,-0.04220878792681978,0.0,0.1019617814130494
0.0,-15.794837453538477,0.0,-0.1559626358344525,-400.0,0.0,8.0,0.0052494749887126,-53.0,0.1324043011666727,0.0,-4.113062244809774e-05
0.0,-12.739623584035192,0.0,-2.165965374891236,-400.0,0.0,8.0,-0.11270639148044384,-54.0,-0.1265408611269669,0.0,0.057328999454692935
0.0,4.272895955208243,0.0,0.10256927325424899,-400.0,0.0,8.0,-0.12306322737989456,-55.0,0.08764265167560786,0.0,0.030956826435222424
0.0,4.218456378024425,0.0,0.2053562342013888,-400.0,0.0,8.0,-0.06737634604385186,-56.0,0.13130542867427358,0.0,0.08543522190705694
0.0,3.034961328952866,0.0,0.5212186668291567,-400.0,0.0,8.0,-0.03576289092849643,-57.0,0.13986966425009703,0.0,0.12952183051431473
0.0,-11.452223889205527,0.0,2.4194787647315783,-400.0,0.0,8.0,-0.22068538106478397,-58.0,-0.03771195387903112,0.0,-0.01739908650875418
0.0,-4.731739613507196,0.0,0.5623498846945981,-400.0,0.0,8.0,-0.19988903983667194,-59.0,-0.07215746013873524,0.0,-0.05341822441675296
0.0,-6.840138034842951,0.0,-0.6787786216074873,-400.0,0.0,8.0,-0.0589694375235432,-60.0,0.15259379401212506,0.0,-0.12177278267080388
0.0,0.3896492903593596,0.0,0.7255964063006011,-400.0,0.0,8.0,0.07126277702817209,-61.0,-0.10170589468706089,0.0,-0.12590752771307726
0.0,-13.102981519416787,0.0,0.3241807587747923,-400.0,0.0,8.0,-0.06721714206831582,-62.0,0.036924857965769164,0.0,0.02232721699676111
0.0,-4.3403635766525035,0.0,-1.6514555655913947,-400.0,0.0,8.0,-0.036049999307813475,-63.0,-0.03163492354500273,0.0,0.06862720148333867
