x,dx,y,dy,z,dz,rx,drx,ry,dry,rz,drz
-2.85,0.017640523459676642,-1.6,0.01658130679618188,-5.0,0.0,-6.0,0.019031155759393972,-140.0,-0.11390081931169654,0.0,0.05483281304979799
-2.85,0.004001572083672233,-1.6,-0.0011816404512856977,-5.0,0.0,-5.986666666666666,-0.08517291972535901,-140.13333333333333,-0.12144013829592591,0.0,0.009866745381579568
-2.85,0.009787379841057393,-1.6,-0.0068017820399685035,-5.0,0.0,-5.973333333333334,0.18227236001279595,-140.26666666666668,0.08709617821716197,0.0,0.01971810551973674
-2.85,0.022408931992014578,-1.6,0.006663830820319143,-5.0,0.0,-5.96,-0.05215796779933732,-140.4,-0.08779706165358703,0.0,0.10590272544419664
-2.85,0.018675579901499675,-1.6,-0.004607197873885533,-5.0,0.0,-5.946666666666666,-0.11846865904115521,-140.53333333333333,0.12961498675278835,0.0,-0.10225643912606858
-2.85,-0.00977277879876411,-1.6,-0.013342584714027534,-5.0,0.0,-5.933333333333334,0.09606933984606597,-140.66666666666666,0.06164593126261553,0.0,-0.08552404572508643
-2.85,0.009500884175255894,-1.6,-0.013467175057975553,-5.0,0.0,-5.92,0.13290628465396823,-140.8,0.053659652056682355,0.0,0.12572196508289943
-2.85,-0.001513572082976979,-1.6,0.0069377315269013255,-5.0,0.0,-5.906666666666666,-0.08174930976162265,-140.93333333333334,0.04046954556143004,0.0,-0.14828833575740427
-2.85,-0.0010321885179355784,-1.6,-0.001595734381462669,-5.0,0.0,-5.8933333333333335,-0.14013472930393106,-141.06666666666666,0.01914508720239118,0.0,-0.13094121463310143
-2.85,0.004105985019383723,-1.6,-0.0013370155966843916,-5.0,0.0,-5.88,0.10304382674156048,-141.2,0.08805111991771106,0.0,0.08178618311849958
-2.85,0.0014404357116087798,-1.6,0.010777438059762627,-5.0,0.0,-5.866666666666666,-0.2047323613057962,-141.33333333333334,-0.045408036251560514,0.0,0.023820019202203863
-2.85,0.014542735069629751,-1.6,-0.011268258087567436,-5.0,0.0,-5.8533333333333335,-0.12266216593966156,-141.46666666666667,0.00859519734343847,0.0,0.010523213705927585
-2.85,0.007610377251469934,-1.6,-0.007306777528648249,-5.0,0.0,-5.84,0.09674461500502352,-141.6,0.07519465876771958,0.0,-0.009165940810038319
-2.85,0.001216750164928284,-1.6,-0.0038487980918127545,-5.0,0.0,-5.826666666666666,-0.005535254802238957,-141.73333333333332,0.05629897185861278,0.0,0.0031267547027569484
-2.85,0.004438632327454257,-1.6,0.0009435158931707401,-5.0,0.0,-5.8133333333333335,-0.026393734859268787,-141.86666666666667,-0.11949868052686603,0.0,-0.009211211469195592
-2.85,0.0033367432737426684,-1.6,-0.00042171451290578935,-5.0,0.0,-5.8,0.035281660649437836,-142.0,-0.0500409667304264,0.0,0.13554427025944182
-2.85,0.01494079073157606,-1.6,-0.0028688719238990764,-5.0,0.0,-5.786666666666667,-0.01527744235454087,-142.13333333333333,0.025280350541915454,0.0,-0.039814812875007516
-2.85,-0.0020515826376580086,-1.6,-0.000616264020956474,-5.0,0.0,-5.773333333333333,-0.12986867221630902,-142.26666666666668,-0.040801470903989695,0.0,-0.016137353627777917
-2.85,0.003130677016509014,-1.6,-0.001073052762911747,-5.0,0.0,-5.76,0.12760753460061877,-142.4,0.17746585609733334,0.0,0.17944488052250737
-2.85,-0.008540957393017247,-1.6,-0.007196043885517929,-5.0,0.0,-5.746666666666667,0.13250140528868154,-142.53333333333333,-0.03931531947541129,0.0,0.00275097020298358
-2.85,-0.025529898158340787,-1.6,-0.008129929885540774,-5.0,0.0,-5.733333333333333,0.02053325637779597,-142.66666666666666,-0.016221844757669086,0.0,0.22320163895251777
-2.85,0.006536185954403606,-1.6,0.0027451635772393953,-5.0,0.0,-5.72,0.004513401543201028,-142.8,0.07694301781773039,0.0,-0.010497970101895356
-2.85,0.008644361988595058,-1.6,-0.00890915082995528,-5.0,0.0,-5.706666666666667,0.2339624806020058,-142.93333333333334,0.03305327432349158,0.0,0.13674149824601586
-2.85,-0.00742165020406442,-1.6,-0.011573552591908535,-5.0,0.0,-5.693333333333333,-0.027643284501583723,-143.06666666666666,-0.014527445720476923,0.0,-0.1655344038309678
-2.85,0.022697546239876076,-1.6,-0.0031229225112569333,-5.0,0.0,-5.68,-0.025957698183403946,-143.2,-0.07564935288807484,0.0,0.01536444608156664
-2.85,-0.014543656745987649,-1.6,-0.001576670161638159,-5.0,0.0,-5.666666666666667,0.03644812492405056,-143.33333333333334,0.030151405739676618,0.0,-0.15844735631509355
